0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:12:11 -0200] "GET /SmartBank/jQuery%20Mask/jquery.mask.js HTTP/1.1" 200 15705
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:12:11 -0200] "GET /SmartBank/img/logot.png HTTP/1.1" 200 8489
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:12:11 -0200] "GET /SmartBank/img/background%20(1).svg HTTP/1.1" 200 49577
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:12:12 -0200] "GET /SmartBank/bootstrap/jquery/dist/jquery.slim.min.js HTTP/1.1" 200 71037
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:12:12 -0200] "GET /SmartBank/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:12:12 -0200] "GET /SmartBank/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:12:12 -0200] "GET /SmartBank/img/iphone700px.png HTTP/1.1" 200 349541
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:12:12 -0200] "GET /SmartBank/homejs.js HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:12:12 -0200] "GET /SmartBank/img/screen.png HTTP/1.1" 200 71476
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:12:12 -0200] "GET /SmartBank/bootstrap/popper.js/dist/umd/popper.min.js HTTP/1.1" 200 21162
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:12:12 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:18:17 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10853
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:18:17 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:21:20 -0200] "POST /SmartBank/autenticacao.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:21:20 -0200] "GET /SmartBank/autenticacao.jsp HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:21:23 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 3080
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:24:56 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 3031
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:31:58 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 3019
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:33:46 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 3019
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:33:47 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 3019
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:33:47 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 3019
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:33:47 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 3019
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:33:52 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 3049
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:33:52 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 3049
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:34:20 -0200] "POST /SmartBank/autenticacao.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:34:20 -0200] "GET /SmartBank/autenticacao.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:34:22 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10860
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:34:22 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:36:47 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 200 10860
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:36:47 -0200] "GET /SmartBank/img/logo.png HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:36:50 -0200] "POST /SmartBank/autenticacao.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:36:50 -0200] "GET /SmartBank/autenticacao.jsp HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:36:52 -0200] "GET /SmartBank/home.jsp HTTP/1.1" 500 3041
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:41:25 -0200] "POST /SmartBank/autenticacao.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2020:10:41:25 -0200] "GET /SmartBank/autenticacao.jsp HTTP/1.1" 200 283
